الاسم,السعر,الماركة,رابط_الصورة,رابط_المنتج,sku
اكوا دي بارما ساكورا او دي برفيوم 180 مل,988.0,ACQUA Di Parma,https://cdn.salla.sa/jvWnV/23122356-b760-4e5a-ab59-6b9961a68281-1000x1000-D6tYSt3AI1cMQSTZhVRorVTKdNoT3NiTHcI9W36w.jpg,https://saeedsalah.com/اكوا-دي-بارما-ساكورا-او-دي-برفيوم-180-مل/p934025066,acqua-di-parma-sakura-edp-180-ml/p934025066
اكوا دي بارما ساكورا او دي برفيوم 100 مل,792.01,ACQUA Di Parma,https://cdn.salla.sa/jvWnV/dac37e2a-06e0-409d-a7c7-03b53c032bb9-1000x1000-FDsWHVgZZ9V8SajNBzpxOxVrZEHdvoDdnVmwJcaG.png,https://saeedsalah.com/اكوا-دي-بارما-ساكورا-او-دي-برفيوم-100-مل/p1707542633,acqua-di-parma-sakura-edp-100-ml/p1707542633
اكوا دي بارما اوسمانثاس او دي برفيوم 180 مل,988.0,ACQUA Di Parma,https://cdn.salla.sa/jvWnV/Qmy9kpf6RjeEfDMnnH0rMYRVjvP70GZN0j4Ep1XL.jpg,https://saeedsalah.com/اكوا-دي-بارما-اوسمانثاس-او-دي-برفيوم-180-مل/p200993128,acqua-di-parma-osmanthus-edp-180-ml/p200993128
اكوا دي بارما ماجنوليا نوبل او دي برفيوم 100 مل,667.0,ACQUA Di Parma,https://cdn.salla.sa/jvWnV/VowLpBj4K2tz4byh3OAJu3oI5p2vPmmK5AbSFeXI.jpg,https://saeedsalah.com/اكوا-دي-بارما-ماجنوليا-نوبل-او-دي-برفيوم-100-مل/p309038189,acqua-di-parma-magnolia-nobile-edp-100-ml/p309038189
اكوا دي بارما ماجنوليا نوبل او دي برفيوم 50 مل,463.0,ACQUA Di Parma,https://cdn.salla.sa/jvWnV/xQ45y6zWJxErNsnXmGOC5DffuwRPRGVV0JK7Gw5P.png,https://saeedsalah.com/اكوا-دي-بارما-ماجنوليا-نوبل-او-دي-برفيوم-50-مل/p1083010412,acqua-di-parma-magnolia-nobile-edp-50-ml/p1083010412
اكوا دي بارما بيونيا نوبل 100 مل,667.0,ACQUA Di Parma,https://cdn.salla.sa/jvWnV/zeRbdw0GdZDA7sbsSsVUbmiFVrkFxSdZOuBVFQlh.jpg,https://saeedsalah.com/اكوا-دي-بارما-بيونيا-نوبل-100-مل/p1990217315,acqua-de-di-parma-peonia-nobile-100-ml/p1990217315
اكوا دي بارما روزا نوبل او دي برفيوم 50 مل,463.0,ACQUA Di Parma,https://cdn.salla.sa/jvWnV/XWYJ1G6fUvtj3wjDu5iSX1w3AYlUHiZpuOJACqy7.jpg,https://saeedsalah.com/اكوا-دي-بارما-روزا-نوبل-او-دي-برفيوم-50-مل/p618344290,acqua-di-parma-rosa-nobile-edp-50-ml/p618344290
اكوا دي بارما بيونيا نوبل او دي برفيوم 50 مل,463.0,ACQUA Di Parma,https://cdn.salla.sa/jvWnV/w6tKP6DEbuEKPW9Foe5NbX6dRpB2SAXNPsIjxaGS.jpg,https://saeedsalah.com/اكوا-دي-بارما-بيونيا-نوبل-او-دي-برفيوم-50-مل/p1258160225,acqua-di-parma-peonia-nobile-edp-50-ml/p1258160225
اكوا دي بارما نوت دي كلولونيا III 150 مل,1393.0,ACQUA Di Parma,https://cdn.salla.sa/jvWnV/Xuk5nmZOvUvZWx8EgKcsadGWY1fnGsmo8WuKOYBH.jpg,https://saeedsalah.com/اكوا-دي-بارما-نوت-دي-كلولونيا-iii-150-مل/p2031214944,acqua-di-parma-note-di-colonia-colonia-150-ml/p2031214944
اكوا دي بارما نوت دي كولونيا II 150 مل,1393.0,ACQUA Di Parma,https://cdn.salla.sa/jvWnV/e5Dmj5rL9XlVn2SkaVizmH27LkhjeuUglIlM9BKb.jpg,https://saeedsalah.com/اكوا-دي-بارما-نوت-دي-كولونيا-ii-150-مل/p791986791,acqua-di-parma-note-di-colonia-ii-150-ml/p791986791
اكوا دي بارما نوت دي كولونيا I 150 مل,1393.0,ACQUA Di Parma,https://cdn.salla.sa/jvWnV/fVuWy6vPKADSvs87SqjSIWgVnLVRkJjjaOkFKySh.jpg,https://saeedsalah.com/اكوا-دي-بارما-نوت-دي-كولونيا-i-150-مل/p1567597414,acqua-di-parma-note-di-colonia-i150-ml/p1567597414
زيرجوف 40 نوتس للرجال او دي برفيوم 50 مل,796.44,XERJOFF,https://cdn.salla.sa/jvWnV/aadd85dd-c016-4333-a953-1c7e8d2a62d5-1000x1000-JyZlQSEomcVtDSqQaNsVFVUu9VpgA6wU0NaBj7MS.png,https://saeedsalah.com/زيرجوف-40-نوتس-للرجال-او-دي-برفيوم-50-مل/p1742685723,xerjoff-40-knots-for-men-edp-50-ml/p1742685723
زيرجوف الكسندريا 2 او دي برفيوم 100 مل,2179.4,XERJOFF,https://cdn.salla.sa/jvWnV/5649e431-ccf9-4a7b-86ab-15da84cbaf44-1000x1000-UZc8HSqO9j2uKy6J1RWulpjsNoDHVQCjoquq4g8q.png,https://saeedsalah.com/زيرجوف-الكسندريا-تو-ii-او-دي-برفيوم-100-مل/p940906521,xerjoff-alexandria-ii-edp-100-ml/p940906521
زيرجوف الكسندريا 2 او دي برفيوم 50 مل,1432.24,XERJOFF,https://cdn.salla.sa/jvWnV/1bcc5f27-608a-4f05-a65c-262371b26e37-1000x1000-AensAEiO7Dy1GMQPuJcv6oFdsvQtwEeDK7OPDeOT.png,https://saeedsalah.com/زيرجوف-الكسندريا-تو-ii-او-دي-برفيوم-50-مل/p1850276120,xerjoff-alexandria-ii-edp-50-ml/p1850276120
رويال فالكون ابسولوت او دي بارفيوم 100 مل,279.99,ROYAL FALCON,https://cdn.salla.sa/jvWnV/JrFRSAx75JknA7fOAz85mvwXWY3sGMGDMbGW1Tlw.jpg,https://saeedsalah.com/رويال-فالكون-ابسولوت-او-دي-بارفيوم-100-مل/p676390811,royal-falcon-absolute-edp-100-ml/p676390811
رويال فالكون سيجار لاونج او دي بارفيوم 100 مل,279.99,ROYAL FALCON,https://cdn.salla.sa/jvWnV/tnmD4iyf8RXuZVIOHTYHlFJudxDNqrkiQvTv1M88.jpg,https://saeedsalah.com/رويال-فالكون-سيجار-لاونج-او-دي-بارفيوم-100-مل/p1970039950,royal-falcon-cigar-lounge-eau-de-parfum100-ml/p1970039950
رويال فالكون اكستريم او دي بارفيوم 100 مل,279.99,ROYAL FALCON,https://cdn.salla.sa/jvWnV/TX7PvqpZPCTUv9eal5GyvYN5b9eF6Os8PtVTCVvO.jpg,https://saeedsalah.com/رويال-فالكون-اكستريم-او-دي-بارفيوم-100-مل/p4649138,royal-falcon-extreme-eau-de-parfum-100ml/p4649138
